id	CASE	MEM	COUNTY	PLAINTIFF1	P1_RES	P1_COUNTY	GRIDX_P	GRIDY_P	P1_OCCUP	PLAINTIFF2	P2_RES	P2_COUNTY	P2_OCCUP	DEFENDANT	D_RES	D_COUNTY	GRIDX_D	GRIDY_D	D_OCCUP	VALUE	CONTENT	P_TYPE	P_GROUP	P_SUBCAT	D_TYPE	D_GROUP	D_SUBCAT
1.00	1.00	77	STAFFS	HILLAR ROGER FIL WM			0.00	0.00						NORTHFELD WALTER DE	FOXTON	LEICS	470000.00	289000.00	PARSON ECC	5.00					E	LANDED	
2.00	2.00	78	YORKS	PRIOR OF KIRKEHAM	KIRKHAM	YORKS	473000.00	465000.00	PRIOR ECC					PERCY ROBERT DE EXECS OF			0.00	0.00		10.00		E	LANDED				
3.00	3.00	78	YORKS	SEELE JOHN	NOTTINGHAM	NOTTS	457200.00	339500.00						MATFRAY GALF & MATILIDA			0.00	0.00		40.00							
4.00	4.00	79	MIDDX	GRANE WALTER DE LA	LANGLEY	AMBIG	0.00	0.00						SAVERAY ROB	STAINES	MIDDX	503400.00	171500.00		10.00							
5.00	5.00	79	LONDON	SWANLOND SIMON, JOHN, THOS DE	LONDON	LONDON	531100.00	181700.00	DRAPER					REDINE' ROB DE			0.00	0.00	CLERK	40.00		L	M&CRAFT	TEXTILE DISTRIB	L	OFF&PROF	
6.00	6.00	82	YORKS	MASTER HOSPITAL S LEONARD	YORK	YORKS	460300.00	451200.00	MASTER OF HOSPITAL ECC					LYNTON WM DE	HARWOOD DALE	YORKS	496630.00	496040.00		3.00		E	LANDED				
7.00	6.00	82	YORKS	MASTER HOSPITAL S LEONARD	YORK	YORKS	460300.00	451200.00	MASTER OF HOSPITAL ECC					CLERK ROB LE	HARWOOD DALE	YORKS	496630.00	496040.00		3.00		E	LANDED				
8.00	6.00	82	YORKS	MASTER HOSPITAL S LEONARD	YORK	YORKS	460300.00	451200.00	MASTER OF HOSPITAL ECC					WELTON RIC DE			0.00	0.00		3.00		E	LANDED				
9.00	6.00	82	YORKS	MASTER HOSPITAL S LEONARD	YORK	YORKS	460300.00	451200.00	MASTER OF HOSPITAL ECC					BAKESLERE WM DE	HARWOOD DALE	YORKS	496630.00	496040.00		3.00		E	LANDED				
10.00	7.00	85	OXON	HEREFORD MARGARET DE			0.00	0.00						SALVEYN JOHN	CADWELL	OXON	464400.00	195700.00		49.79							
11.00	7.00	85	OXON	HEREFORD MARGARET DE			0.00	0.00						ELINE ROB ATTE	CHALGROVE	OXON	463700.00	196500.00		49.79							
12.00	7.00	85	OXON	HEREFORD MARGARET DE			0.00	0.00						ELINE JOHN ATTE	CHALGROVE	OXON	463700.00	196500.00		49.79							
13.00	8.00	86	YORKS	RANDOLFE RIC & JOANNA	KILHAM	YORKS	506300.00	464300.00						HANLEY JOHN DE			0.00	0.00		30.67							
14.00	9.00	86	ESSEX	WHATEFELD JOHN DE	IPSWICH	SUFFOLK	616500.00	244500.00	MERCHANT					CLARE RIC DE	GREAT DUNMOW	ESSEX	562900.00	223000.00	PARSON ECC	35.00		L	M&CRAFT	MERCHANTS	E	LANDED	
15.00	10.00	89	LONDON	BURSTON THOS DE			0.00	0.00						MIDDELTON M. GILBERT DE			0.00	0.00		10.00							
16.00	11.00	90	YORKS	VESCY ISABELLA DE			0.00	0.00						COTUM REYNAM	HOTHAM	YORKS	489400.00	434600.00	PARSON ECC	33.33					E	LANDED	
17.00	12.00	93	STAFFS	VERDON ROGER DE			0.00	0.00	CLERK					BRIKHILL JOHN DE	STANDON	STAFFS	381900.00	334900.00	PARSON ECC	15.00		L	OFF&PROF		E	LANDED	
18.00	13.00	97	YORKS	LUDA RIC & MARGARET DE			0.00	0.00						LYNBEAND WM	BEVERLEY	YORKS	503300.00	439600.00		16.00							
19.00	14.00	97	YORKS	COKEREL NICH	BEVERLEY	YORKS	503300.00	439600.00						AK WM DE	BEVERLEY	YORKS	503300.00	439600.00		16.00							
20.00	15.00	97	YORKS	LUDA RIC & MARGARET DE			0.00	0.00						GOLDYNG PETER	BEVERLEY	YORKS	503300.00	439600.00		16.00							
21.00	16.00	97	YORKS	HAYLEFELD ROB DE	BEVERLEY	YORKS	503300.00	439600.00	MERCHANT	FROST WALTER	BEVERLEY	YORKS	MERCHANT	HAYE JOHN FIL ROG DEL	FRAISTHORPE	YORKS	515400.00	461700.00		13.00		L	M&CRAFT	MERCHANTS			
22.00	17.00	97	YORKS	CHELMERFORD JOHN DE	STAMFORD BRIDGE	YORKS	471200.00	455400.00	PARSON ECC					HAMPTON M. ROB DE	MIDDLETON ambig	YORKS	0.00	0.00	PARSON ECC	60.00		E	LANDED		E	LANDED	
23.00	18.00	98	YORKS	LANGELE WM DE			0.00	0.00	CLERK					CRUL ROB FIL WM	SWINEFLEET	YORKS	477200.00	422200.00		26.67		L	OFF&PROF				
24.00	19.00	98	YORKS	GRANDISSON JOHN DE			0.00	0.00	BISHOP ECC					HAVERING RIC DE	DUBLIN?		0.00	0.00	ARCHBISHOP ELECT ECC	95.00		E	LANDED		E	LANDED	
25.00	20.00	98	YORKS	RICON WM DE	ELLINGTON	YORKS	419800.00	483300.00	PARSON ECC					PICKERING M WM DE	NOTTINGHAM	NOTTS	457200.00	339500.00	ARCHDEACON ECC	48.00		E	LANDED		E	LANDED	
26.00	21.00	98	YORKS	HOLDEN ROB DE EXECS OF			0.00	0.00						LANCASTRE ROGER DE	SUTTON BY BROTHERTON	YORKS	448200.00	425700.00		10.00							
27.00	22.00	101	KENT	FRERE JOHN			0.00	0.00						OKLE ROGER DE	MILTON BY GRAVESEND	KENT	565800.00	173800.00	CUSTODIAN ECC	10.00					E	LANDED	
28.00	23.00	103	BUCKS	OLNEYE JOHN DE EXECS OF	LONDON	LONDON	531100.00	181700.00	MERCHANT					WELLE RIC ATTE	HIGH WYCOMBE	BUCKS	486600.00	193100.00	TAVERNER	5.33		L	M&CRAFT	MERCHANTS	L	M&CRAFT	DRINK
29.00	24.00	103	BUCKS	OLNEYE JOHN DE EXECS OF	LONDON	LONDON	531100.00	181700.00	MERCHANT					DADYNGTON BART DE			0.00	0.00	DYER	3.00		L	M&CRAFT	MERCHANTS	L	M&CRAFT	TEXTILE FINISHE
30.00	25.00	105	LONDON	LAVENHAM M THOS DE	GREAT OAKLEY	ESSEX	618800.00	227400.00	PARSON ECC					BOYNVYLL NIC DE	ASTON	AMBIG	0.00	0.00	PARSON ECC	11.15	C1	E	LANDED		E	LANDED	
31.00	26.00	106	STAFFS	NANTON JOHN DE	BRINKLOW	WARWICKS	443700.00	279700.00	PARSON ECC					ETCHESHALE ROGER DE			0.00	0.00	CHAPLAIN ECC	2.00		E	LANDED		E	LANDED	
32.00	26.00	106	STAFFS	NANTON JOHN DE	BRINKLOW	WARWICKS	443700.00	279700.00	PARSON ECC					SALE RIC FIL HUGH DE LA	EDGBASTON	WARWICKS	405700.00	284700.00		2.00		E	LANDED				
33.00	26.00	106	STAFFS	NANTON JOHN DE	BRINKLOW	WARWICKS	443700.00	279700.00	PARSON ECC					BLOUND WM LE			0.00	0.00		2.00		E	LANDED				
34.00	27.00	107	YORKS	ROGER BP OF COVENTRY	COVENTRY	WARWICKS	433300.00	279300.00	BISHOP ECC					DALTON JOHN DE			0.00	0.00		24.00		E	LANDED				
35.00	27.00	107	YORKS	ROGER BP OF COVENTRY	COVENTRY	WARWICKS	433300.00	279300.00	BISHOP ECC					MANGER RIC			0.00	0.00		24.00		E	LANDED				
36.00	27.00	107	YORKS	ROGER BP OF COVENTRY	COVENTRY	WARWICKS	433300.00	279300.00	BISHOP ECC					STUBBYNG JOHN FIL ROB			0.00	0.00		4.00		E	LANDED				
37.00	27.00	107	YORKS	ROGER BP OF COVENTRY	COVENTRY	WARWICKS	433300.00	279300.00	BISHOP ECC					SERVANT HENRY LE	EASINGWOLD	YORKS	452500.00	470000.00		8.00		E	LANDED				
