cat_id	will_sentence	title	forename	surname	occupation	geog_info	parish_place	county_country	date	first_date	last_date	edoc_id	image_id	year
2530553	W		Thomas	Brantyngham	Bishop of Exeter	North Fleet, Kent	North Fleet	Kent	30 December 1394	13941230	13941230	1052769	ID=1052769	1394
2530553	W		Thomas	Hayton	Rector	Saint Bride, City  of London	Saint Bride	City of London	25 June 1396	13960625	13960625	1052780	ID=1052780	1396
2530553	W		Thomas	Kennardesle					02 December 1391	13911202	13911202	1052754	ID=1052754	1391
2530553	W		Thomas	Strete					July 1391	13910701	13910731	1052734	ID=1052734	1391
2530553	W		Thomas	Strete					November 1391	13911101	13911130	1052753	ID=1052753	1391
2530553	W		William	Ancroft		Saint Botolph Billingsgate, City  of London	Saint Botolph Billingsgate	City of London	27 July 1390	13900727	13900727	1052781	ID=1052781	1390
2530553	W		William	De Horbury		Eynesham Abbey, Oxfordshire	Eynesham Abbey	Oxfordshire	10 November 1393	13931110	13931110	1052816	ID=1052816	1393
2530553	W		William	De Tonge		All Hallows Barking, City of London	All Hallows Barking	City of London	September 1389	13890901	13890930	1052746	ID=1052746	1389
2530553	W		William	de Wenelok	Canon of Saint Pauls	Luton, Bedfordshire	Luton	Bedfordshire	16 June 1392	13920616	13920616	1052786	ID=1052786	1392
2530553	W		William	Holym	Rector	Symondsbury, Dorset	Symondsbury	Dorset	10 December 1395	13951210	13951210	1052777	ID=1052777	1395
2530553	W		William	Kokyng					July 1392	13920701	13920731	1052758	ID=1052758	1392
2530553	W		William	Laas	Rector	West Wycombe, Buckinghamshire	West Wycombe	Buckinghamshire	13 February 1396	13960213	13960213	1052778	ID=1052778	1396
2530553	W		William	Leigh					01 August 1391	13910801	13910801	1052826	ID=1052826	1391
2530553	W		William	Lye		North Fleet, Kent	North Fleet	Kent	December 1391	13911201	13911231	1052756	ID=1052756	1391
2530553	W		William	Mayhew	Grocer	Saint Peter Pauls Wharf, City of London	Saint Peter Pauls Wharf	City of London	18 January 1392	13920118	13920118	1052795	ID=1052795	1392
2530553	W		William	Newport	Parson	Saint Nicholas Olave, City of London	Saint Nicholas Olave	City of London	May 1391	13910501	13910531	1052802	ID=1052802	1391
2530553	W		William	Sharpyng		Saint James Garlikhithe, City of London	Saint James Garlikhithe	City of London	May 1392	13920501	13920531	1052785	ID=1052785	1392
2530553	W		William	Somerwell		Bristol, Gloucestershire	Bristol	Gloucestershire	December 1392	13921201	13921231	1052814	ID=1052814	1392
2530553	W		William	Walsham					16 December 1389	13891216	13891216	1052748	ID=1052748	1389
2530553	W		William	Wyght		Saint Lawrence Poultney, City of London	Saint Lawrence Poultney	City of London	July 1392	13920701	13920731	1052792	ID=1052792	1392
2530553	WI	Sir	Solomon	Russell		Sutton Valence, Kent	Sutton Valence	Kent	May 1394	13940501	13940531	1052766	ID=1052766	1394
2530553	W	Lady	Margaret	Montagu					March  1395	13950301	13950331	1052772	ID=1052772	1395
2530553	S		Robert	Galion		Friars Minor, Northamptonshire	Friars Minor	Northamptonshire	December 1391	13911201	13911231	1052750	ID=1052750	1391
2530553	S	Sir	Robert	Bardolf		Mapelderham Gurnay, Oxfordshire	Mapelderham Gurnay	Oxfordshire	March 1395	13950301	13950331	1052774	ID=1052774	1395
2530553	W	Sir	Andrew	Cavendissh		Norwich, Norfolk	Norwich	Norfolk	March 1394	13940301	13940331	1052771	ID=1052771	1394
2530553	W	Sir	Fouke	Fitzwaryn					October 1391	13911001	13911031	1052752	ID=1052752	1391
2530553	W	Sir	John	De Multon		Saint Mary Lincoln, Lincolnshire	Saint Mary Lincoln	Lincolnshire	26 May 1388	13880526	13880526	1052745	ID=1052745	1388
2530553	W	Sir	John	Devereux					24 February 1392	13920224	13920224	1052760	ID=1052760	1392
2530553	W	Sir	John	Falwesle		Lewes, Sussex	Lewes	Sussex	December 1392	13921201	13921231	1052759	ID=1052759	1392
2530553	W	Sir	John	Paneley					02 January 1393	13930102	13930102	1052794	ID=1052794	1393
2530553	W	Sir	Robert	De Hamenhale		Brunham, Norfolk	Brunham	Norfolk	August 1391	13910801	13910831	1052811	ID=1052811	1391
2530553	W	Sir	Robert	Rous					July 1383	13830701	13830731	1052732	ID=1052732	1383
2530553	W	Sir	William	De Dyghton	Canon of Saint Pauls				09 May 1391	13910509	13910509	1052803	ID=1052803	1391
2530553	W	Sir	William	De Walworth		Saint Michael Crooked Lane, City of London	Saint Michael Crooked Lane	City of London	24 December 1385	13851224	13851224	1052739	ID=1052739	1385
2530553	W	Sir	William	De Wyndesore or De Wynfore		Eversham, Westmoreland	Eversham	Westmoreland	12 October 1384	13841012	13841012	1052740	ID=1052740	1384
2530818	W		John	Wayne	Yeoman	Langford, Berkshire	Langford	Berkshire	02 May 1057	10570502	10570502	878271	ID=878271	1057
2531001	W		Francisco	Lambo		Stepney, Middlesex	Stepney	Middlesex	02 August 1098	10980802	10980802	820982	ID=820982	1098
